text,labels
thời tiết kiểu tao làm gì mày,"[0,0,0,0,1,1,1,1,0]"
Thời tiết kiểu : tao làm gì mày 😁,"[0,0,0,0,0,1,1,1,1,0,0]"
Thời thế đã tạo ra anh hùng,"[0,0,0,0,0,0,0,0,0]"
"Thời nay tiền tiền đi trước bẻ cong Luật Pháp,đổi trắng thay đen chứ làm gì có chuyện như phim Bao Thanh Thiên, nên mấy ông mấy mẹ ngồi trên cao xử án mà tụi nó rúc rích cười nói với nhau vì kịch bản đã soạn sẵn ,mẹ cha tụi nó chỉ vì tiền tiền thôi, đúng ra trước khi anh í chết phải tìm nhà xử mấy con mấy thằng ngồi trên cao luôn á","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thời này đừng thấy làm lạ quỷ ma nhiều lắm,"[0,0,0,0,0,0,0,1,1,0,0,0]"
Thời nay có tiền. công lý nghiêm về người có tiền. Người nghèo toàn bị oan. Sao mà chịu nổi.,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thời nào rồi con gái yêu thương phải trai gái bình đẳng như nhau thôi,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thời nào rồi còn chơi nắm đầu, lấy hàng nóng ra bùm 1 cái cho nhanh gọn lẹ","[0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0]"
thời nào rồi còn chơi nắm đầu lấy hàng nóng ra bùm numbr cái cho nhanh gọn lẹ,"[0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0]"
Thời nào cũng vậy có tiền có thế lực là ngồi trên đầu người ta.từ nay bị đè đầu cưỡi cổ cũng phải xử sự thế này mới lấy lại chính nghĩa.con người rồi ai cũng chết chỉ trước và sau thôi,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]"
Thời kì tiểu tam lên tầm cao mới r à :)),"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thời gian sau này nó sẻ sống những ngày không bằng chết,"[1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thời gian 8thang trôi qua đủ để điều tra thằng nào xửbao che.gặp tao tao bắn thằng đó phát nữa chết chưa muộn,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0]"
Thời eo nhỏ mông to chân dài đã qua rồi chăng.?. Chúng tôi cần là giá,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thời đại của chó xanh chó vàng lên ngôi,"[0,0,0,0,0,0,0,0,0,0,0]"
Thời đại bây giờ có bác tô Lâm chắc chắn nổi quan sẽ được rửa sạch bọn chúng không thể một tay che hết bầu trời,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thời buổi này tìm ra được người vợ như cháu Quỳnh đây là phước 3 đời nhà Lâm đấy.. .yêu cả nhà ❤,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thời bọn nó tới rồi nhanh chớp lấy cơ hội,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Thời bình rồi mà mấy má còn máu chiến dữ 🙄,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
thời bình rồi mà mấy má còn máu chiến dữ,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Thời bình cái k đánh giặc nữa. Họ đánh nhau...,"[0,0,0,0,0,0,0,0,0,0,1,1,1,1,0]"
thời bình cái k đánh giặc nữa họ đánh nhau,"[0,0,0,0,0,0,0,0,0,1,1,0]"
Thời bác lâm rùi các e ăn nói cẩn thận nhé.k là bế mấy e lên uống nước trà đấy.,"[0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thơ Thơ có bà Thơ trong này hk,"[0,0,0,0,0,0,0,0,0,0,0]"
"Thờ kỳ chế độ phong kiến thực dân, nhân dân ta có câu ca dao truyền miệng mà mẹ mình hay đọc cho nghe:","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thở ko nổi luôn,"[0,0,0,0,0,0]"
thông tin chính phủ vtvnumbr,"[0,0,0,0,0,0,0,0,0,0,0]"
Thông tin Chính phủ vào mà xem,"[0,0,0,0,0,0,0,0,0]"
Thông tin Chính phủ mình xin dc góp một tiếng trống kêu oan,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thông tin chính phủ,"[0,0,0,0,0,0]"
Thông tin chả ý nghĩa j cả kênh vớ vẩn,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thống nhất dữ trời 😧,"[0,0,0,0,0,0,0]"
thống nhất dữ trời,"[0,0,0,0,0,0,0]"
"Thông minh, thật là thông minh","[0,0,0,0,0,0,0,0,0]"
thông minh thật là thông minh,"[0,0,0,0,0,0,0,0]"
thông minh lắm các cháu ạ,"[0,0,0,0,0,0,0,0]"
Thông minh có hạn mà lựu đạn có thừa,"[1,1,1,1,1,1,1,1,1,1,0]"
"Thông minh , b thật là thông minh","[0,0,0,0,0,0,0,0,0,0]"
"Thông cảm, chị ko biết. Mấy đứa này 😂","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thông cảm giờ cuộc thi hh nhiều quá tranh thủ đi thi còn việc học tính sau😂,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thông cảm Dg độ tuổi hồi xuân,"[0,0,0,0,0,0,0,0,0,0]"
Thông cảm chắc bả ở ngoài nắng nâu quá hơi ẩm ẩm tí :)),"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi, em nó cũng biết nhận lỗi rồi. Dù gi đánh kẻ chạy đi chứ không ai đánh người chạy lại, mong các cô bác CCB và CĐM tha lỗi cho em nó. Mang Cẩu Đầu Trảm ra đây 😃😃","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi, bỏ qua cho em nó đi. Đuổi học là được rồi.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi tôi lạy 🙂‍↔️🙂‍↔️🙂‍↔️🙂‍↔️,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi tôi lạy,"[0,0,0,0,0]"
thôi tỉnh rổi lại xin tiền bố mẹ đi hát karaoke thêm đôi vịn cho khuây khoả.có tiền có quyền nó sợ cc gì khổ mà chúng m mong nó sống trong đau khổ :),"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0]"
Thôi thôi bớt nungbim lại đi =)) toàn khôn nhà dại chợ thôi 😅😅😅 tự dưng năm nay lại có kiểu soi mói để ý quan tâm theo kiểu vô liêm sỉ với các chiến sĩ làm nhiệm vụ diễu binh. Lướt fb thấy nhàm quá 😅😅😅,"[0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi thì chúc mừng gia đình,"[0,0,0,0,0,0,0,0]"
Thôi thắt khăn quàng cũng đc. Nhưng cách chào cờ sai rồii,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi thà tụi bay câm đi đỡ ai biết tụi bay ngoo chứ mở miệng ra nói ntn thì khẳng định ngoo cmnr 😂,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
thôi tâm con md thì cha mẹ có công cách mạng cũng bó tay thôi con,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi tâm con md thì cha mẹ có công cách mạng cũng bó tay thôi con,"[0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi sống khùng khùng điên điên cũng tốt để trả nghiệp đời mình gây ra..,"[0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0]"
Thôi sao không chết để có kết thuc tốt đẹp đuoc,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi rồi có ngày đi không có ngày trở lại 😂😂😂😂,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi ra đi thanh thản đi hai cha con Adidaphat 😭 rồi mọi chuyện sẽ được tìm thấy hai chữ (công bằng),"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi nha mới về tới nhà , bỏ cuộc luôn hụ hụ","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi ngũ thẳng đi luôn cho nhục giòng họ bác tài nghe,"[0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]"
Thôi mong a vượt qua cơn nguy kịch để trả nợ đời sáng mút ngón tay chiều mút ngón chân.,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi mà mọi người!!! Nghề tài xế nó cũng bạc lắm!!! Đâu ai muốn đâu!! Dù sao thì chắc anh ấy cũng ám ảnh đến hết đời!!! Tội nghiệp cha con bé gái!! Bg gia đình cũng tan hoang!!! 🙏🙏🙏🥺🥺🥺 xin chia buồn!!!,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi lời cx đã thốt ra, mình là ai? Là những thanh niên đã đủ tuổi để chịu trách nhiệm, có đứa làm con ng ta có bầu thì cưới, đứa phạm pháp thì phải đi tù. Việc mình đã làm tuy k sinh thêm người cx k mất thêm người nên xét thấy nhà trg nào đang đào tạo ban thì đuổi học đi. Danh dự là thứ thiêng liêng nhất và k thể chà đạt nó xuống rồi lấy nó lên rửa sạch sẽ là mọi chuyện xong","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi lời cx đã thốt ra mình là ai là những thanh niên đã đủ tuổi để chịu trách nhiệm có đứa làm con ng ta có bầu thì cưới đứa phạm pháp thì phải đi tù việc mình đã làm tuy k sinh thêm người cx k mất thêm người nên xét thấy nhà trg nào đang đào tạo ban thì đuổi học đi danh dự là thứ thiêng liêng nhất và k thể chà đạt nó xuống rồi lấy nó lên rửa sạch sẽ là mọi chuyện xong,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi không sao kiếp này biết sai kiếp sau làm lại bố thằng đàn bà,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0]"
Thôi kệ đánh nhau đi cũng dc. Nhưng giặc tới nhà thì chung tay cùng nhau đánh giặt nhé 😍,"[0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi kệ đánh nhau đi cũng dc nhưng giặc tới nhà thì chung tay cùng nhau đánh giặt nhé,"[0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi k sao cả Nhưng T muốn hỏi C đã xây trường với đi học đại học chưa,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi im đi,"[0,0,0,0,0]"
"Thôi hết lễ r, giải tán đi mấy bà ơi kkk","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi hết Lễ ai về nhà nấy! Để ngta về với hậu phương còn chúng ta thôi tương tư về chú bộ đội. Ai hên thì thành duyên với các anh độc thân. Kaka,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi em nó cũng biết nhận lỗi rồi dù gi đánh kẻ chạy đi chứ không ai đánh người chạy lại mong các cô bác ccb và cđm tha lỗi cho em nó mang cẩu đầu trảm ra đây,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi đừng ai bênh mấy bà này. Lí do vui với lại yêu thích là k chính đáng. Phạt nặng các bà này thì sau mới biết sợ. Phản cảm, xấu hổ quá. Ngày trọng đại của cả Đất nước có cả trẻ em, người nước ngoài, phóng viên, truyền hình.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
THÔI ĐI QUÝ VỊ ƠI ĐỪNG NGUYỀN RỦA NỮA CHUYỆN GÌ CŨNG AN BÀI THEO NGHIỆP HẾT RỒI CHÚNG TA RỦA VÔ TÌNH CHÚNG TA MABG TỘI,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi đi các má cho người ta yên  Iu thì trên màn hình thôi nha 🤣,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi để cho ngta yên, nhìn cũng bt mà","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi đằng nào e nó cũng biết sai và nhận lỗi rồimong cộng đồng mạng bỏ rơi cho e nó và nhà trường đừng kỷ luật mà đuổi học e nó luôn là dc rồi ạ,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi đằng nào e nó cũng biết sai và nhận lỗi rồi,mong cộng đồng mạng bỏ rơi cho e nó và nhà trường đừng kỷ luật mà đuổi học e nó luôn là dc rồi ạ","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi dùng t cái bây ơi😀,"[0,0,0,0,0,0,0,0,0,0]"
"Thôi cứ nhốt đến lần diễu binh kế tiếp rồi thả là được, đừng nên phạt hành chính các cháu vẫn nhỏ. 10 năm diễu binh 1 lần thôi mà","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thôi cứ làm vợ Quỳnh Quỳnh là tốt nhất nha,"[0,0,0,0,0,0,0,0,0,0,0,0]"
"Thôi cứ kệ mẹ bọn nó,qua lễ nó lặng mẹ hết,giờ cứ cho ngứa onl đi","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
"Thôi cố mà sống, sống rồi k bằng chết...","[0,0,0,0,0,0,0,0,0,0,0,1,1,1,0]"
Thôi chuyển công tác đi là vừa,"[0,0,0,0,0,0,0,0,0]"
thôi chuyển công tác đi là vừa,"[0,0,0,0,0,0,0,0,0]"
Thôi cho nó ao khỏi ngành sv đi.,"[0,0,0,0,0,0,0,0,0,0,0,0]"
thôi cho nó ao khỏi ngành sv đi,"[0,0,0,0,0,0,0,0,0,0,0]"
Thôi chết luôn đi ông ơi luật nhân quả đến nhanh lắm,"[1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thôi bớt soi mói đi..rảnh đi làm việc có ích cái. Mệt mấy ba mẹ suốt ngày soi mói rình rập,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"thôi bọn khỉ bại não cứ sống tiếp với mơ tưởng hảo huyền mà tụi bây bịa ra nhé, chưa có bạn gái cũng k chọn m🤣","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
thôi bỏ qua cho em nó đi đuổi học là được rồi,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi bỏ qua,"[0,0,0,0,0]"
"thôi bạn nào nwng thì ib mình từ thiện mỗi bạn cái sẽtoy,đừng làm phiền tình yêu của người khác nữa 😞","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"thôi bạn í về đơn vị rồi, các bạn ơi.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi anh chúc anh mau tỉnh để trả giá,"[0,0,0,0,0,0,0,0,0,0,0]"
THÔI . CỨ ĐỂ VKS TỐI CAO VÀO CUỘC RÕ TRẮNG ĐEN . TỘI AI ĐẾN ĐÂU CHỊU ĐẾN ĐÓ . HÃY KIỀM CHẾ KHẨU NGHIỆP CHO NHẸ KIẾP LUÂN HỒI,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thôi,"[0,0,0]"
thôi,"[0,0,0]"
Thọt lét nó là nó thả ra hết chứ gì cản cực z,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thọt lét nó là nó thả ra hết chứ gì cản cực z,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thòn nứng lứ:))),"[1,1,1,1,1,1,1,1,1,1,0]"
thoi tui bỏ cuộc nha 🥲,"[0,0,0,0,0,0,0,0]"
thoi song lam gi ko co trach nhiem voi nguoi ta,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thoi ke đi neu no con sông ma khung đien đi lang thang tra nghiep cung đuoc 😂😂😂😂,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0]"
Thoi để cho nó sống mà bị liệt nằm một chỗ cho nó tham thía hơn là chết liền nhẹ cho nó wa vợ nó lấy thằng khác nữa mới vui,"[0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thoi ai mê mê đi t mê Tk nào có tiền,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thoạt nhìn ở tóp tóp cứ tưởng mất điện thoại thật 😂,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thoát kiếp ve sầu ah,"[0,0,0,0,0,0,0]"
Thoa Lục Bắc Ninh thở còn ko nổi,"[0,0,0,0,0,0,0,0,0,0]"
thjk nổi tiếng à,"[0,0,0,0,0,0,0]"
Thịnh Phát tại sao bị ngáo,"[0,0,0,0,0,1,1,0]"
"Thiếu ý thức, nhìu lúc nhìn mất cười vk ai đem về dùm cái","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"thiếu ý thức, ko có não. lúc này bảo vệ, công an phải tóm cổ nhốt lại. đây là 1 hành động có thể nói ngăn cản đoàn diễu hành. ngán quá mà tại sao ko ai có ý kiến gì cả.","[1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thiếu ý thức,","[0,0,0,0,0,0,0]"
Thiếu ý thức vậy 😕,"[0,0,0,0,0,0,0]"
Thiếu ý thức thiếu luôn văn hoá,"[1,1,1,1,1,1,1,1,0]"
Thiếu ý thức thiếu hiểu biết,"[1,1,1,1,1,1,1,0]"
Thiếu ý thức Thích thể hiện  😡,"[0,0,0,0,0,0,0,1,0]"
Thiếu ý thức thì có,"[1,1,1,1,1,1,0]"
"Thiếu ý thức thật sự, hết nói","[1,1,1,1,1,1,1,0,0,0]"
Thiếu ý thức như con nít .,"[1,1,1,1,1,1,1,0,0]"
Thiếu ý thức hết sức.,"[0,0,0,0,0,0,0,0]"
Thiếu ý thức cứ tưởng hay tưởng đẹp 😏,"[0,0,0,0,0,0,0,0,0,0,0]"
Thiếu ý thức =))),"[0,0,0,0,0,0,0,0,0]"
"Thiếu ý thức , tưởng mình chắc hay lắm","[0,0,0,0,0,0,0,0,0,0,0]"
Thiếu ý thức,"[1,1,1,1,0]"
"Thiếu văn hoá, ngáo, lố, loạn, điên, rồ...hết từ diễn tả🥲","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thiếu trai hả bà chị 😐,"[0,0,0,0,0,0,0,0]"
thiếu thốn tới z hả,"[0,0,0,0,0,0,0]"
"Thiếu tế nhị,mất vẻ đẹp thần thái người việt","[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiếu nghiêm túc,"[0,0,0,0,0]"
Thiếu men thông cảm nhé,"[0,0,0,0,0,0,0]"
"Thiếu iot thiệt chứ, này nên phạt.","[0,0,0,0,0,0,0,0,0,0,0,0]"
Thiếu hơi trai hả má,"[0,0,0,0,0,0,0]"
Thiếu hơi trai dữ vậy sao trời.,"[0,0,0,0,0,0,0,0,0,0,0]"
Thiếu hơi trai à,"[0,0,0,0,0,0]"
Thiếu đồ,"[0,0,0,0]"
thiếu dòng: DO THẾ LỰC THÌ ĐỊCH XÚI GIỤC EM nữa đúm hem? tại bị thì là 😂,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thiếu dòng do thế lực thì địch xúi giục em nữa đúm hem tại bị thì là,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiếu content quá à,"[0,0,0,0,0,0,0]"
Thiệt tức mang súng mà ko mang theo dao,"[1,1,1,1,1,1,1,1,1,1,0]"
Thiệt tình già còn...,"[0,0,0,0,0,0,0,0]"
Thiệt thòi cho người dân không tiền không địa vị không tiếng nói luôn,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiệt sao có thể đồn chị Lâm nhà tui kiểu vậy 🫣,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Thiết nghĩ, nếu ban đầu thấy sai. Làm gì đó để xoa dịu nỗi đau cho gđ người ta, thì đâu có cớ sự này","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thiết nghĩ lên cho mỗi đứa trong hội đồng xét xử numbr viên kẹo đồn,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0]"
Thiết nghĩ lên cho mỗi đứa trong hội đồng xét xử 1 viên kẹo đồn,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Thiệt chứ lên xin lỗi không biết vì hối hận hành vi của mình hay chỉ vì bị tấn công quá rồi xin lỗi??. Một đứa trẻ sinh ra gđ đã có truyền thống yêu nước mà lại có cách hành xử không ra một con người. Bao nhiêu người đã nằm xuống để bây giờ nó đứng lên cho nó chửi nó khó chịu. Vãi thật học tới đại học rồi mà không có khôn nỗi có lớn mà không có khôn. Tưởng gđ như vậy là cỏ lúa ngang bằng hay sao??. Lớn rồi hành xử thì coi sao cho chuẩn mực biết trên dưới biết đúng sai chứ đừng như con tôm chỗ xử lí thông với chỗ xử lí chất thải đều nằm trên đầu,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
thiệt chứ lên xin lỗi không biết vì hối hận hành vi của mình hay chỉ vì bị tấn công quá rồi xin lỗi một đứa trẻ sinh ra gđ đã có truyền thống yêu nước mà lại có cách hành xử không ra một con người bao nhiêu người đã nằm xuống để bây giờ nó đứng lên cho nó chửi nó khó chịu vãi thật học tới đại học rồi mà không có khôn nỗi có lớn mà không có khôn tưởng gđ như vậy là cỏ lúa ngang bằng hay sao lớn rồi hành xử thì coi sao cho chuẩn mực biết trên dưới biết đúng sai chứ đừng như con tôm chỗ xử lí thông với chỗ xử lí chất thải đều nằm trên đầu,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiên Trịnh ☺️ liêm,"[0,0,0,0,0,0,0]"
Thiên Thư  em có chỗ đứng chưa bé êu Nho Xinh,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiện tai thiện tai thiện tai cuộc sống này là vô thường sống sao cho đáng sống sống để mà chả nghiệp gieo nhân nào thì gặp nhân đó,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiên tai đất việt 👍👍🤣🤣,"[0,0,0,0,0,0,0,0,0,0]"
Thiên Phước :)) 1h sáng đã thế này ròii,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Thiên Nae thứ N :))),"[0,0,0,0,0,0,0,0,0,0,0]"
Thiên Lang,"[0,0,0,0]"
Thiên hạ rảnh quá. Tự nhiên thích con người ta rồi đưa chuyện riêng của người ta ra moi móc sản si vậy trời. Tội cho Em ấy quá,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
